id,name,latitude,longitude
1,札幌,43.064350,141.346847
2,仙台,38.268675,140.872970
3,さいたま,35.861413,139.645339
4,千葉,35.606920,140.106239
5,東京,35.689134,139.691806
6,川崎,35.529878,139.702395
7,横浜,35.444287,139.637834
8,相模原,35.530380,139.430269
9,静岡,34.975360,138.382201
10,浜松,34.710865,137.726004
11,名古屋,35.181078,136.906836
12,新潟,37.916195,139.036403
13,京都,35.011633,135.767981
14,大阪,34.693832,135.502453
15,堺,34.573290,135.482744
16,神戸,34.690401,135.195415
17,岡山,34.655054,133.919349
18,広島,34.385707,132.455335
19,北九州,33.883518,130.875256
20,福岡,33.589907,130.401739
21,熊本,32.802936,130.707865
